"","Device","corr","name"
"1","Apple_Energy",0.842229515438495,"statistic"
"2","Apple_Energy",172,"parameter"
"3","Apple_Energy",0.400829060982532,"p.value"
"4","Apple_Energy",0.0640873820871615,"estimate"
"5","Apple_Energy",0,"null.value"
"6","Apple_Energy",two.sided,"alternative"
"7","Apple_Energy",Pearson's product-moment correlation,"method"
"8","Apple_Energy",percentdiff and BMI,"data.name"
"9","Apple_Energy",c(-0.0854976101315077, 0.210846945519237),"conf.int"
"10","Basis_Energy",4.45868676802884,"statistic"
"11","Basis_Energy",172,"parameter"
"12","Basis_Energy",1.48367596939369e-05,"p.value"
"13","Basis_Energy",0.321878697699946,"estimate"
"14","Basis_Energy",0,"null.value"
"15","Basis_Energy",two.sided,"alternative"
"16","Basis_Energy",Pearson's product-moment correlation,"method"
"17","Basis_Energy",percentdiff and BMI,"data.name"
"18","Basis_Energy",c(0.181815238260851, 0.449141036536761),"conf.int"
"19","device_mean",3.7047356368557,"statistic"
"20","device_mean",305,"parameter"
"21","device_mean",0.000251181520475985,"p.value"
"22","device_mean",0.207514817620699,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and BMI,"data.name"
"27","device_mean",c(0.097847208590224, 0.312203085540193),"conf.int"
"28","Fitbit_Energy",2.57208949950962,"statistic"
"29","Fitbit_Energy",170,"parameter"
"30","Fitbit_Energy",0.0109638705190114,"p.value"
"31","Fitbit_Energy",0.193540336277666,"estimate"
"32","Fitbit_Energy",0,"null.value"
"33","Fitbit_Energy",two.sided,"alternative"
"34","Fitbit_Energy",Pearson's product-moment correlation,"method"
"35","Fitbit_Energy",percentdiff and BMI,"data.name"
"36","Fitbit_Energy",c(0.0452153683400087, 0.333516031766243),"conf.int"
"37","Microsoft_Energy",1.41275685082548,"statistic"
"38","Microsoft_Energy",169,"parameter"
"39","Microsoft_Energy",0.159566202017885,"p.value"
"40","Microsoft_Energy",0.108037517476973,"estimate"
"41","Microsoft_Energy",0,"null.value"
"42","Microsoft_Energy",two.sided,"alternative"
"43","Microsoft_Energy",Pearson's product-moment correlation,"method"
"44","Microsoft_Energy",percentdiff and BMI,"data.name"
"45","Microsoft_Energy",c(-0.0427276460919617, 0.253991834684424),"conf.int"
"46","PulseOn_Energy",2.65325033867362,"statistic"
"47","PulseOn_Energy",129,"parameter"
"48","PulseOn_Energy",0.00897412704386458,"p.value"
"49","PulseOn_Energy",0.227481108532101,"estimate"
"50","PulseOn_Energy",0,"null.value"
"51","PulseOn_Energy",two.sided,"alternative"
"52","PulseOn_Energy",Pearson's product-moment correlation,"method"
"53","PulseOn_Energy",percentdiff and BMI,"data.name"
"54","PulseOn_Energy",c(0.0582275847799985, 0.384022502392948),"conf.int"
