"","Device","corr","name"
"1","Apple_HR",0.795719363595136,"statistic"
"2","Apple_HR",168,"parameter"
"3","Apple_HR",0.427318035284211,"p.value"
"4","Apple_HR",0.061275720353075,"estimate"
"5","Apple_HR",0,"null.value"
"6","Apple_HR",two.sided,"alternative"
"7","Apple_HR",Pearson's product-moment correlation,"method"
"8","Apple_HR",percentdiff and Age,"data.name"
"9","Apple_HR",c(-0.0900692284699, 0.209854511743692),"conf.int"
"10","Basis_HR",-1.69497714376847,"statistic"
"11","Basis_HR",168,"parameter"
"12","Basis_HR",0.0919324531077892,"p.value"
"13","Basis_HR",-0.129666321570287,"estimate"
"14","Basis_HR",0,"null.value"
"15","Basis_HR",two.sided,"alternative"
"16","Basis_HR",Pearson's product-moment correlation,"method"
"17","Basis_HR",percentdiff and Age,"data.name"
"18","Basis_HR",c(-0.274817070751518, 0.0212629108897589),"conf.int"
"19","device_mean",-1.2884209116725,"statistic"
"20","device_mean",342,"parameter"
"21","device_mean",0.198470430056179,"p.value"
"22","device_mean",-0.0695013521939613,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Age,"data.name"
"27","device_mean",c(-0.173964092797125, 0.0365081825178156),"conf.int"
"28","Fitbit_HR",-0.502184476608535,"statistic"
"29","Fitbit_HR",168,"parameter"
"30","Fitbit_HR",0.616195326970645,"p.value"
"31","Fitbit_HR",-0.0387153261161006,"estimate"
"32","Fitbit_HR",0,"null.value"
"33","Fitbit_HR",two.sided,"alternative"
"34","Fitbit_HR",Pearson's product-moment correlation,"method"
"35","Fitbit_HR",percentdiff and Age,"data.name"
"36","Fitbit_HR",c(-0.188133286365778, 0.112454220163175),"conf.int"
"37","Microsoft_HR",-1.0133686259632,"statistic"
"38","Microsoft_HR",169,"parameter"
"39","Microsoft_HR",0.312332742667169,"p.value"
"40","Microsoft_HR",-0.0777156736024558,"estimate"
"41","Microsoft_HR",0,"null.value"
"42","Microsoft_HR",two.sided,"alternative"
"43","Microsoft_HR",Pearson's product-moment correlation,"method"
"44","Microsoft_HR",percentdiff and Age,"data.name"
"45","Microsoft_HR",c(-0.225162015064341, 0.073210580801815),"conf.int"
"46","Mio_HR",-0.118223233833906,"statistic"
"47","Mio_HR",120,"parameter"
"48","Mio_HR",0.906088447578703,"p.value"
"49","Mio_HR",-0.0107916268849392,"estimate"
"50","Mio_HR",0,"null.value"
"51","Mio_HR",two.sided,"alternative"
"52","Mio_HR",Pearson's product-moment correlation,"method"
"53","Mio_HR",percentdiff and Age,"data.name"
"54","Mio_HR",c(-0.188191544441822, 0.167290221881401),"conf.int"
"55","Pulseon_HR",-3.85353696389613,"statistic"
"56","Pulseon_HR",131,"parameter"
"57","Pulseon_HR",0.000181490634757548,"p.value"
"58","Pulseon_HR",-0.319085220555659,"estimate"
"59","Pulseon_HR",0,"null.value"
"60","Pulseon_HR",two.sided,"alternative"
"61","Pulseon_HR",Pearson's product-moment correlation,"method"
"62","Pulseon_HR",percentdiff and Age,"data.name"
"63","Pulseon_HR",c(-0.464103376544815, -0.157408356190805),"conf.int"
"64","Samsung_HR",1.87397520228676,"statistic"
"65","Samsung_HR",158,"parameter"
"66","Samsung_HR",0.0627802453896178,"p.value"
"67","Samsung_HR",0.147455757280888,"estimate"
"68","Samsung_HR",0,"null.value"
"69","Samsung_HR",two.sided,"alternative"
"70","Samsung_HR",Pearson's product-moment correlation,"method"
"71","Samsung_HR",percentdiff and Age,"data.name"
"72","Samsung_HR",c(-0.00788335168537108, 0.295845830999892),"conf.int"
