"","Device","corr","name"
"1","Apple_HR",0.581171046097083,"statistic"
"2","Apple_HR",168,"parameter"
"3","Apple_HR",0.561904067152605,"p.value"
"4","Apple_HR",0.0447933143487201,"estimate"
"5","Apple_HR",0,"null.value"
"6","Apple_HR",two.sided,"alternative"
"7","Apple_HR",Pearson's product-moment correlation,"method"
"8","Apple_HR",percentdiff and BMI,"data.name"
"9","Apple_HR",c(-0.106438549890816, 0.193999614805173),"conf.int"
"10","Basis_HR",0.516302048113968,"statistic"
"11","Basis_HR",168,"parameter"
"12","Basis_HR",0.606322373431839,"p.value"
"13","Basis_HR",0.0398020031438098,"estimate"
"14","Basis_HR",0,"null.value"
"15","Basis_HR",two.sided,"alternative"
"16","Basis_HR",Pearson's product-moment correlation,"method"
"17","Basis_HR",percentdiff and BMI,"data.name"
"18","Basis_HR",c(-0.111379497777191, 0.18918290422381),"conf.int"
"19","device_mean",-0.332317080087469,"statistic"
"20","device_mean",342,"parameter"
"21","device_mean",0.739853428824814,"p.value"
"22","device_mean",-0.0179667490937889,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and BMI,"data.name"
"27","device_mean",c(-0.123473401388911, 0.0879415548644705),"conf.int"
"28","Fitbit_HR",-0.278473600490681,"statistic"
"29","Fitbit_HR",168,"parameter"
"30","Fitbit_HR",0.780991285326629,"p.value"
"31","Fitbit_HR",-0.0214797478421592,"estimate"
"32","Fitbit_HR",0,"null.value"
"33","Fitbit_HR",two.sided,"alternative"
"34","Fitbit_HR",Pearson's product-moment correlation,"method"
"35","Fitbit_HR",percentdiff and BMI,"data.name"
"36","Fitbit_HR",c(-0.171439733887724, 0.129453026961114),"conf.int"
"37","Microsoft_HR",-0.296426146049141,"statistic"
"38","Microsoft_HR",169,"parameter"
"39","Microsoft_HR",0.767268625627037,"p.value"
"40","Microsoft_HR",-0.0227960858006464,"estimate"
"41","Microsoft_HR",0,"null.value"
"42","Microsoft_HR",two.sided,"alternative"
"43","Microsoft_HR",Pearson's product-moment correlation,"method"
"44","Microsoft_HR",percentdiff and BMI,"data.name"
"45","Microsoft_HR",c(-0.172279109088382, 0.127713230278638),"conf.int"
"46","Mio_HR",-1.13842171613742,"statistic"
"47","Mio_HR",120,"parameter"
"48","Mio_HR",0.25721211765125,"p.value"
"49","Mio_HR",-0.103366527019531,"estimate"
"50","Mio_HR",0,"null.value"
"51","Mio_HR",two.sided,"alternative"
"52","Mio_HR",Pearson's product-moment correlation,"method"
"53","Mio_HR",percentdiff and BMI,"data.name"
"54","Mio_HR",c(-0.27605507570368, 0.0757869536138338),"conf.int"
"55","Pulseon_HR",-2.85647974630935,"statistic"
"56","Pulseon_HR",131,"parameter"
"57","Pulseon_HR",0.00498341836688316,"p.value"
"58","Pulseon_HR",-0.242144581844331,"estimate"
"59","Pulseon_HR",0,"null.value"
"60","Pulseon_HR",two.sided,"alternative"
"61","Pulseon_HR",Pearson's product-moment correlation,"method"
"62","Pulseon_HR",percentdiff and BMI,"data.name"
"63","Pulseon_HR",c(-0.396046534578828, -0.0750096508514648),"conf.int"
"64","Samsung_HR",0.738546694999635,"statistic"
"65","Samsung_HR",158,"parameter"
"66","Samsung_HR",0.461277944025251,"p.value"
"67","Samsung_HR",0.0586544633786269,"estimate"
"68","Samsung_HR",0,"null.value"
"69","Samsung_HR",two.sided,"alternative"
"70","Samsung_HR",Pearson's product-moment correlation,"method"
"71","Samsung_HR",percentdiff and BMI,"data.name"
"72","Samsung_HR",c(-0.0973906098677746, 0.211884896647374),"conf.int"
