"","Device","corr","name"
"1","Apple_Energy",0.44948212369417,"statistic"
"2","Apple_Energy",172,"parameter"
"3","Apple_Energy",0.653649793097095,"p.value"
"4","Apple_Energy",0.0342525796939118,"estimate"
"5","Apple_Energy",0,"null.value"
"6","Apple_Energy",two.sided,"alternative"
"7","Apple_Energy",Pearson's product-moment correlation,"method"
"8","Apple_Energy",percentdiff and Age,"data.name"
"9","Apple_Energy",c(-0.115103795527319, 0.182094506480807),"conf.int"
"10","Basis_Energy",1.03169651709962,"statistic"
"11","Basis_Energy",172,"parameter"
"12","Basis_Energy",0.303662817904931,"p.value"
"13","Basis_Energy",0.0784238387690245,"estimate"
"14","Basis_Energy",0,"null.value"
"15","Basis_Energy",two.sided,"alternative"
"16","Basis_Energy",Pearson's product-moment correlation,"method"
"17","Basis_Energy",percentdiff and Age,"data.name"
"18","Basis_Energy",c(-0.0711764187191016, 0.22457355132256),"conf.int"
"19","device_mean",0.424972202762015,"statistic"
"20","device_mean",305,"parameter"
"21","device_mean",0.671156592224875,"p.value"
"22","device_mean",0.0243266362747105,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Age,"data.name"
"27","device_mean",c(-0.0878531328918691, 0.135897102977422),"conf.int"
"28","Fitbit_Energy",0.247360582359484,"statistic"
"29","Fitbit_Energy",170,"parameter"
"30","Fitbit_Energy",0.804927667628218,"p.value"
"31","Fitbit_Energy",0.0189682773571212,"estimate"
"32","Fitbit_Energy",0,"null.value"
"33","Fitbit_Energy",two.sided,"alternative"
"34","Fitbit_Energy",Pearson's product-moment correlation,"method"
"35","Fitbit_Energy",percentdiff and Age,"data.name"
"36","Fitbit_Energy",c(-0.131038067298931, 0.168125503910032),"conf.int"
"37","Microsoft_Energy",0.802666363498123,"statistic"
"38","Microsoft_Energy",169,"parameter"
"39","Microsoft_Energy",0.42329494393598,"p.value"
"40","Microsoft_Energy",0.0616262103500628,"estimate"
"41","Microsoft_Energy",0,"null.value"
"42","Microsoft_Energy",two.sided,"alternative"
"43","Microsoft_Energy",Pearson's product-moment correlation,"method"
"44","Microsoft_Energy",percentdiff and Age,"data.name"
"45","Microsoft_Energy",c(-0.0892718115085572, 0.209758680592996),"conf.int"
"46","PulseOn_Energy",-0.152416891085851,"statistic"
"47","PulseOn_Energy",129,"parameter"
"48","PulseOn_Energy",0.879096269152956,"p.value"
"49","PulseOn_Energy",-0.0134183508250522,"estimate"
"50","PulseOn_Energy",0,"null.value"
"51","PulseOn_Energy",two.sided,"alternative"
"52","PulseOn_Energy",Pearson's product-moment correlation,"method"
"53","PulseOn_Energy",percentdiff and Age,"data.name"
"54","PulseOn_Energy",c(-0.184519158313018, 0.158471881157244),"conf.int"
