"","Device","corr","name"
"1","Apple_Energy",0.339750412339403,"statistic"
"2","Apple_Energy",172,"parameter"
"3","Apple_Energy",0.734459009394262,"p.value"
"4","Apple_Energy",0.0258970376962761,"estimate"
"5","Apple_Energy",0,"null.value"
"6","Apple_Energy",two.sided,"alternative"
"7","Apple_Energy",Pearson's product-moment correlation,"method"
"8","Apple_Energy",percentdiff and Fitzpatrick,"data.name"
"9","Apple_Energy",c(-0.123348019959357, 0.17399651664311),"conf.int"
"10","Basis_Energy",0.882044861918764,"statistic"
"11","Basis_Energy",172,"parameter"
"12","Basis_Energy",0.378983545909326,"p.value"
"13","Basis_Energy",0.0671036972301186,"estimate"
"14","Basis_Energy",0,"null.value"
"15","Basis_Energy",two.sided,"alternative"
"16","Basis_Energy",Pearson's product-moment correlation,"method"
"17","Basis_Energy",percentdiff and Fitzpatrick,"data.name"
"18","Basis_Energy",c(-0.0824896322433017, 0.213739766845821),"conf.int"
"19","device_mean",0.388303726380395,"statistic"
"20","device_mean",305,"parameter"
"21","device_mean",0.69806217476392,"p.value"
"22","device_mean",0.022228712879561,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Fitzpatrick,"data.name"
"27","device_mean",c(-0.0899356064296637, 0.133836222097325),"conf.int"
"28","Fitbit_Energy",0.287742294453599,"statistic"
"29","Fitbit_Energy",170,"parameter"
"30","Fitbit_Energy",0.77389448961961,"p.value"
"31","Fitbit_Energy",0.0220634544033144,"estimate"
"32","Fitbit_Energy",0,"null.value"
"33","Fitbit_Energy",two.sided,"alternative"
"34","Fitbit_Energy",Pearson's product-moment correlation,"method"
"35","Fitbit_Energy",percentdiff and Fitzpatrick,"data.name"
"36","Fitbit_Energy",c(-0.127993528481377, 0.171132885739589),"conf.int"
"37","Microsoft_Energy",-1.0584440745071,"statistic"
"38","Microsoft_Energy",169,"parameter"
"39","Microsoft_Energy",0.291363540701138,"p.value"
"40","Microsoft_Energy",-0.0811502460706643,"estimate"
"41","Microsoft_Energy",0,"null.value"
"42","Microsoft_Energy",two.sided,"alternative"
"43","Microsoft_Energy",Pearson's product-moment correlation,"method"
"44","Microsoft_Energy",percentdiff and Fitzpatrick,"data.name"
"45","Microsoft_Energy",c(-0.228440603254951, 0.0697718655028148),"conf.int"
"46","PulseOn_Energy",0.38937608815819,"statistic"
"47","PulseOn_Energy",129,"parameter"
"48","PulseOn_Energy",0.697640000848726,"p.value"
"49","PulseOn_Energy",0.0342625245069746,"estimate"
"50","PulseOn_Energy",0,"null.value"
"51","PulseOn_Energy",two.sided,"alternative"
"52","PulseOn_Energy",Pearson's product-moment correlation,"method"
"53","PulseOn_Energy",percentdiff and Fitzpatrick,"data.name"
"54","PulseOn_Energy",c(-0.138074419362535, 0.204585690387353),"conf.int"
