"","Device","corr","name"
"1","Apple_HR",-0.945966498772802,"statistic"
"2","Apple_HR",168,"parameter"
"3","Apple_HR",0.345524252025169,"p.value"
"4","Apple_HR",-0.0727893010753387,"estimate"
"5","Apple_HR",0,"null.value"
"6","Apple_HR",two.sided,"alternative"
"7","Apple_HR",Pearson's product-moment correlation,"method"
"8","Apple_HR",percentdiff and V02max,"data.name"
"9","Apple_HR",c(-0.220883590729097, 0.0785859248465716),"conf.int"
"10","Basis_HR",-2.68261797190745,"statistic"
"11","Basis_HR",168,"parameter"
"12","Basis_HR",0.00803478949262264,"p.value"
"13","Basis_HR",-0.202673138237717,"estimate"
"14","Basis_HR",0,"null.value"
"15","Basis_HR",two.sided,"alternative"
"16","Basis_HR",Pearson's product-moment correlation,"method"
"17","Basis_HR",percentdiff and V02max,"data.name"
"18","Basis_HR",c(-0.342732275176122, -0.0538000677312837),"conf.int"
"19","device_mean",-1.33216656075069,"statistic"
"20","device_mean",342,"parameter"
"21","device_mean",0.183692478992585,"p.value"
"22","device_mean",-0.0718491430362298,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and V02max,"data.name"
"27","device_mean",c(-0.176251318603105, 0.0341515508213929),"conf.int"
"28","Fitbit_HR",-2.64386735603665,"statistic"
"29","Fitbit_HR",168,"parameter"
"30","Fitbit_HR",0.00897273785285242,"p.value"
"31","Fitbit_HR",-0.19986327709069,"estimate"
"32","Fitbit_HR",0,"null.value"
"33","Fitbit_HR",two.sided,"alternative"
"34","Fitbit_HR",Pearson's product-moment correlation,"method"
"35","Fitbit_HR",percentdiff and V02max,"data.name"
"36","Fitbit_HR",c(-0.340145189207877, -0.0508795988995777),"conf.int"
"37","Microsoft_HR",-0.106374033500818,"statistic"
"38","Microsoft_HR",169,"parameter"
"39","Microsoft_HR",0.915411757524021,"p.value"
"40","Microsoft_HR",-0.00818234404079536,"estimate"
"41","Microsoft_HR",0,"null.value"
"42","Microsoft_HR",two.sided,"alternative"
"43","Microsoft_HR",Pearson's product-moment correlation,"method"
"44","Microsoft_HR",percentdiff and V02max,"data.name"
"45","Microsoft_HR",c(-0.158060655435145, 0.142064504247515),"conf.int"
"46","Mio_HR",1.91809372718858,"statistic"
"47","Mio_HR",120,"parameter"
"48","Mio_HR",0.0574751914110148,"p.value"
"49","Mio_HR",0.172473229639067,"estimate"
"50","Mio_HR",0,"null.value"
"51","Mio_HR",two.sided,"alternative"
"52","Mio_HR",Pearson's product-moment correlation,"method"
"53","Mio_HR",percentdiff and V02max,"data.name"
"54","Mio_HR",c(-0.00545494448914228, 0.339815748932392),"conf.int"
"55","Pulseon_HR",1.32191963444251,"statistic"
"56","Pulseon_HR",131,"parameter"
"57","Pulseon_HR",0.188498615579066,"p.value"
"58","Pulseon_HR",0.114733944411451,"estimate"
"59","Pulseon_HR",0,"null.value"
"60","Pulseon_HR",two.sided,"alternative"
"61","Pulseon_HR",Pearson's product-moment correlation,"method"
"62","Pulseon_HR",percentdiff and V02max,"data.name"
"63","Pulseon_HR",c(-0.0565982552209422, 0.27950184320991),"conf.int"
"64","Samsung_HR",-1.77333901009576,"statistic"
"65","Samsung_HR",158,"parameter"
"66","Samsung_HR",0.0780990810248036,"p.value"
"67","Samsung_HR",-0.139695916919446,"estimate"
"68","Samsung_HR",0,"null.value"
"69","Samsung_HR",two.sided,"alternative"
"70","Samsung_HR",Pearson's product-moment correlation,"method"
"71","Samsung_HR",percentdiff and V02max,"data.name"
"72","Samsung_HR",c(-0.288599260839219, 0.0158054114225051),"conf.int"
