"","Device","corr","name"
"1","Apple_Energy",-0.0108169053696875,"statistic"
"2","Apple_Energy",172,"parameter"
"3","Apple_Energy",0.991382062599497,"p.value"
"4","Apple_Energy",-0.000824781021615759,"estimate"
"5","Apple_Energy",0,"null.value"
"6","Apple_Energy",two.sided,"alternative"
"7","Apple_Energy",Pearson's product-moment correlation,"method"
"8","Apple_Energy",percentdiff and Skin,"data.name"
"9","Apple_Energy",c(-0.14957626261759, 0.147963209422282),"conf.int"
"10","Basis_Energy",1.25523327727699,"statistic"
"11","Basis_Energy",172,"parameter"
"12","Basis_Energy",0.21109679949996,"p.value"
"13","Basis_Energy",0.0952752492099211,"estimate"
"14","Basis_Energy",0,"null.value"
"15","Basis_Energy",two.sided,"alternative"
"16","Basis_Energy",Pearson's product-moment correlation,"method"
"17","Basis_Energy",percentdiff and Skin,"data.name"
"18","Basis_Energy",c(-0.0542637243107275, 0.240634313436655),"conf.int"
"19","device_mean",0.455675968447136,"statistic"
"20","device_mean",305,"parameter"
"21","device_mean",0.648947250185659,"p.value"
"22","device_mean",0.0260830530371857,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Skin,"data.name"
"27","device_mean",c(-0.0861088965698531, 0.137621764852816),"conf.int"
"28","Fitbit_Energy",0.786922996518632,"statistic"
"29","Fitbit_Energy",170,"parameter"
"30","Fitbit_Energy",0.432422607196093,"p.value"
"31","Fitbit_Energy",0.0602446139214099,"estimate"
"32","Fitbit_Energy",0,"null.value"
"33","Fitbit_Energy",two.sided,"alternative"
"34","Fitbit_Energy",Pearson's product-moment correlation,"method"
"35","Fitbit_Energy",percentdiff and Skin,"data.name"
"36","Fitbit_Energy",c(-0.0902029541140125, 0.208003945828849),"conf.int"
"37","Microsoft_Energy",-1.17808932686968,"statistic"
"38","Microsoft_Energy",169,"parameter"
"39","Microsoft_Energy",0.240417215154655,"p.value"
"40","Microsoft_Energy",-0.0902524194899553,"estimate"
"41","Microsoft_Energy",0,"null.value"
"42","Microsoft_Energy",two.sided,"alternative"
"43","Microsoft_Energy",Pearson's product-moment correlation,"method"
"44","Microsoft_Energy",percentdiff and Skin,"data.name"
"45","Microsoft_Energy",c(-0.237113264266011, 0.060641331831057),"conf.int"
"46","PulseOn_Energy",0.269610716789461,"statistic"
"47","PulseOn_Energy",129,"parameter"
"48","PulseOn_Energy",0.787890547831561,"p.value"
"49","PulseOn_Energy",0.0237312148107069,"estimate"
"50","PulseOn_Energy",0,"null.value"
"51","PulseOn_Energy",two.sided,"alternative"
"52","PulseOn_Energy",Pearson's product-moment correlation,"method"
"53","PulseOn_Energy",percentdiff and Skin,"data.name"
"54","PulseOn_Energy",c(-0.148398336661547, 0.194465137643552),"conf.int"
