"","Device","corr","name"
"1","Apple_HR",-0.385812119038292,"statistic"
"2","Apple_HR",168,"parameter"
"3","Apple_HR",0.700123932736429,"p.value"
"4","Apple_HR",-0.0297528733423396,"estimate"
"5","Apple_HR",0,"null.value"
"6","Apple_HR",two.sided,"alternative"
"7","Apple_HR",Pearson's product-moment correlation,"method"
"8","Apple_HR",percentdiff and Skin,"data.name"
"9","Apple_HR",c(-0.17946344659437, 0.121304608883665),"conf.int"
"10","Basis_HR",3.78226140514958,"statistic"
"11","Basis_HR",168,"parameter"
"12","Basis_HR",0.000215781053800157,"p.value"
"13","Basis_HR",0.280124860955423,"estimate"
"14","Basis_HR",0,"null.value"
"15","Basis_HR",two.sided,"alternative"
"16","Basis_HR",Pearson's product-moment correlation,"method"
"17","Basis_HR",percentdiff and Skin,"data.name"
"18","Basis_HR",c(0.135315904075137, 0.41321674473331),"conf.int"
"19","device_mean",1.44115838459353,"statistic"
"20","device_mean",342,"parameter"
"21","device_mean",0.15045488797924,"p.value"
"22","device_mean",0.0776933648298999,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Skin,"data.name"
"27","device_mean",c(-0.0282801983774642, 0.181939887628099),"conf.int"
"28","Fitbit_HR",2.231832066099,"statistic"
"29","Fitbit_HR",168,"parameter"
"30","Fitbit_HR",0.0269484922555729,"p.value"
"31","Fitbit_HR",0.169692331993588,"estimate"
"32","Fitbit_HR",0,"null.value"
"33","Fitbit_HR",two.sided,"alternative"
"34","Fitbit_HR",Pearson's product-moment correlation,"method"
"35","Fitbit_HR",percentdiff and Skin,"data.name"
"36","Fitbit_HR",c(0.0196807481257708, 0.312231835070649),"conf.int"
"37","Microsoft_HR",0.616572584359607,"statistic"
"38","Microsoft_HR",169,"parameter"
"39","Microsoft_HR",0.538346358508822,"p.value"
"40","Microsoft_HR",0.0473754053057799,"estimate"
"41","Microsoft_HR",0,"null.value"
"42","Microsoft_HR",two.sided,"alternative"
"43","Microsoft_HR",Pearson's product-moment correlation,"method"
"44","Microsoft_HR",percentdiff and Skin,"data.name"
"45","Microsoft_HR",c(-0.103432373090102, 0.196053913821371),"conf.int"
"46","Mio_HR",1.14479538231552,"statistic"
"47","Mio_HR",120,"parameter"
"48","Mio_HR",0.254572120541343,"p.value"
"49","Mio_HR",0.103939008944625,"estimate"
"50","Mio_HR",0,"null.value"
"51","Mio_HR",two.sided,"alternative"
"52","Mio_HR",Pearson's product-moment correlation,"method"
"53","Mio_HR",percentdiff and Skin,"data.name"
"54","Mio_HR",c(-0.0752115528680908, 0.276589589079281),"conf.int"
"55","Pulseon_HR",-1.32145431519123,"statistic"
"56","Pulseon_HR",131,"parameter"
"57","Pulseon_HR",0.188653200667611,"p.value"
"58","Pulseon_HR",-0.114694089123796,"estimate"
"59","Pulseon_HR",0,"null.value"
"60","Pulseon_HR",two.sided,"alternative"
"61","Pulseon_HR",Pearson's product-moment correlation,"method"
"62","Pulseon_HR",percentdiff and Skin,"data.name"
"63","Pulseon_HR",c(-0.27946461110497, 0.056638512504739),"conf.int"
"64","Samsung_HR",2.29252942897042,"statistic"
"65","Samsung_HR",158,"parameter"
"66","Samsung_HR",0.0231944965647446,"p.value"
"67","Samsung_HR",0.179424090881131,"estimate"
"68","Samsung_HR",0,"null.value"
"69","Samsung_HR",two.sided,"alternative"
"70","Samsung_HR",Pearson's product-moment correlation,"method"
"71","Samsung_HR",percentdiff and Skin,"data.name"
"72","Samsung_HR",c(0.0249602184480799, 0.325520597744546),"conf.int"
