Device	Activity	Intensity	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
Fitbit	walk	1		-0.496		-0.385		1.705	0.353		-0.433	0.583		-0.479	-0.642	0.397			0.53	0.564	0.352		-0.408			0.339		-0.414	-0.402	-0.302	-0.373			-0.455	-0.382			-0.339					-0.384			-0.454																
Fitbit	walk	2			-0.385			0.865													0.688		-0.775				-0.326					1.747					0.39	0.382			0.75																					
Fitbit	max	5							0.707	-0.543					-0.436	3.785		-0.337	-0.305	-0.611												0.66	1.9										0.599																			
Fitbit	bike	3		-0.73	0.485	-0.797		0.35	-0.5	-0.423			-0.625	-0.807		0.39			0.48	-0.548	0.61	0.677			-0.833		-0.565			-0.441		1.332		0.579	-0.747		1.413				0.383	0.526	0.884			-0.514																
Fitbit	bike	4	-0.361					0.306		-0.344			-0.317	-0.706						-0.329	0.452	-0.464	0.457		-0.36		-0.475			-0.814			-0.863				-0.872									-0.592																
Fitbit	run	3		-0.543	-0.773	0.676		1.505					-0.459	-0.609		0.33	-0.329				0.335	-0.696	0.411		-0.34	0.497	-0.558																			-0.352																
Fitbit	run	4						0.981		-0.4	-0.327		-0.309	-0.341							0.305	-0.341			-0.303		-0.646			-0.376				-0.305			0.469									-0.376																
Fitbit	sit	0		-0.465			-0.367	1.539	-0.492	0.552	-0.485			-0.322	-0.376	-0.353	-0.387		-0.413	-0.4		-0.324		-0.544	-0.442	-0.508	-0.636	-0.442		-0.534	-0.522		0.648	-0.579		-0.534		-0.386			-0.444	-0.466				-0.593																
Microsoft	bike	3	0.5	-0.737	0.667	-0.855	-0.634	1.045	-0.538	-0.655	0.373		-0.429	-0.759				0.579	1.121	-0.767	-1.0	-1.0		-1.0		-1.0	-0.314	0.354	1.069	-1.0		-0.474	0.961				2.077	-1.0			-1.0	-1.0	0.905			-1.0																
Microsoft	bike	4						0.964						-0.385				0.456	0.471	-0.515		-0.677		0.442					0.364	-0.762	-0.524	0.644		0.707			0.94									-0.787																
Microsoft	max	5			-0.353			-1.0	0.667	-1.0					-1.0	3.444		-0.559	-0.351	-0.836	-0.794											1.778	-1.0										-1.0			-1.0																
Microsoft	walk	1	-0.333		-0.5	-1.0	-1.0	-1.0	-1.0	-0.412	-0.444		-0.412	-0.808	-0.412	-0.667	-0.464			-0.31		-1.0	0.429	-0.773	-1.0		-0.524			-0.375	-0.565				-0.333	0.429					0.333	-0.444	-0.565			-0.474																
Microsoft	walk	2			-0.394			1.083	-0.355	0.321	-0.434	-0.344	-0.487	-0.639	-1.0	-0.859				-0.375	-0.388						-0.403			-0.42					-0.615						-0.344		-0.452																			
Microsoft	run	3	-0.467	-0.778			-0.63	1.667	-0.348			-0.524	-0.588	-0.841	-0.535	-1.0	-0.343	0.467		-0.508	-0.583	-0.732						0.618	-0.318	-0.451		-0.595			-0.315						-0.412	-0.341	-0.519																			
