Device	Activity	Intensity	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
PulseOn	walk	1																														-0.215		0.303		0.234								-0.225			0.307	0.175			0.17					0.429						
PulseOn	walk	2														-0.153								0.151		0.124						0.601		-0.276						-0.109								0.15								0.892						
PulseOn	max	5						-0.541																										-0.264						-0.301											-0.124					-0.11	0.113					
PulseOn	bike	3					-0.188																									0.1		0.209													-0.194									0.127						
PulseOn	bike	4						-0.581																																								-0.414														
PulseOn	run	3						-0.118			-0.219											-0.192										0.113		-0.444		-0.169								-0.211			-0.141					-0.113	-0.265			0.686						
PulseOn	run	4						-0.117								0.102																0.178		-0.319														-0.427								0.194						
PulseOn	sit	0									-0.143																					-0.249		-0.441										-0.265			-0.132				0.251						-0.23					
Apple	bike	3				0.106																			0.133										0.138											-0.167																
Apple	max	5							0.881						-0.188			-0.197	-0.123	-0.235	-0.255																					0.113				0.153																
Apple	sit	0				0.245				0.307							0.12							0.148				0.342				-0.309																														
Apple	run	3		0.467	-0.159	-0.13				0.123			0.29	-0.181		0.104											-0.128								-0.123																											
Apple	run	4																									-0.112										0.161																									
Apple	walk	1			-0.183	0.145										-0.242			-0.109			0.262	-0.166			-0.196			-0.159			-0.256																														
Apple	walk	2		0.366									-0.293													-0.116								0.124																												
Mio	max	5																																-0.483					-0.118																	-0.208					-0.145	
Mio	bike	3					0.306																											0.215					-0.261																				-0.393			
Mio	bike	4															-0.396					0.204												-0.339					-0.152																	-0.112			-0.465			
Mio	run	3					-0.198															0.226				0.252								-0.128					-0.119	0.346	0.136			-0.283												0.327						0.315
Mio	run	4																				0.212												-0.617					-0.18		-0.11															0.394			-0.321			0.117
Mio	sit	0																			0.2	-0.201		-0.33								-0.239				-0.158			-0.617				0.237	0.166						0.135	0.167			0.107						0.101	0.131	0.237
Mio	walk	1	0.111								-0.239						-0.181					0.213		0.131								-0.292		-0.4					-0.59					-0.347				0.12		0.107		0.231				0.366						-0.13
Mio	walk	2														-0.438						0.233				0.295								-0.523					0.147	0.605	0.103										0.716	0.168				0.471						-0.297
Samsung	bike	3								0.186						0.161					-0.101	-0.114				0.105						0.151		0.104		-0.163			0.233		-0.287												0.118			-0.276		-0.331				
Samsung	bike	4									0.675											-0.191					-0.25							-0.401		-0.101					-0.413										0.468	-0.411		-0.165		-0.388	-0.368	-0.349	-0.396			
Samsung	max	5								0.154											0.176											0.117															0.119			0.107	-0.233	-0.144				0.386						
Samsung	walk	1						0.259													1.048	1.016		0.415								-0.209																			0.263	0.246					0.962				0.112	
Samsung	walk	2						-0.102									0.117				0.344	1.056		0.921										0.318						0.611	-0.319		0.3	-0.16						-0.102	0.284	-0.151			0.446		0.158					
Samsung	run	3														0.377						1.074		0.442		0.209						-0.132							-0.486	0.112											0.17	0.157	-0.315		0.47				-0.159			
Samsung	run	4					0.33			-0.136																0.1								-0.184							0.295										-0.109	-0.367						0.492				
Samsung	sit	0					0.24				0.14										1.306	0.344		0.414		-0.167	0.331							1.026				0.122			0.332		0.276	-0.198				-0.183	0.119		0.222	0.15				0.675	1.065			0.193	0.166	0.143
Basis	bike	3				-0.167																											-0.178													-0.167																
Basis	bike	4				0.155																			-0.182								-0.464																													
Basis	max	5						-0.173	0.644						-0.154			-0.19	-0.126	-0.266	-0.255																									-0.161																
Basis	sit	0			0.674					0.733							0.145											0.298				-0.338		0.541																												
