Fitbit	Microsoft	PulseOn	Apple	Basis
0.125	1	1	0.627	0.517
0.565	0.314	1	0.414	0.863
0.067	0.354	1	0.434	0.229
0.27	1.069	0.959	0.284	0.655
0.677	1	1	0.108	0.73
0.259	1	1	0.166	0.3
0.152	0.2	1	0.199	0.194
0.833	1	1	0.296	0.8
0.514	1	1	0.282	0.656
0.441	0.07	1	0.139	0.533
0.006	1	1	0.914	0.698
0.526	0.905	1	0.107	0.767
0.884	0.5	1	0.471	0.238
0.19	0.667	0.761	0.528	0.754
0.485	0.737	0.951	0.079	0.692
0.73	0.634	0.081	0.329	0.579
0.254	0.855	1	0.983	0.841
0.797	0.538	1	0.296	0.812
0.5	1.045	0.707	0.504	0.677
0.35	0.373	1	1.024	0.705
0.037	0.655	1	0.341	0.49
0.423	1	1	0.336	0.862
0.383	0.429	1	0.68	0.732
0.625	0.064	1	0.505	0.514
0.172	0.189	1	0.422	0.213
0.253	0.759	1	0.966	0.095
0.807	0.167	1	0.351	0.843
0.224	0.167	1	0.662	0.833
0.39	1.121	0.777	0.312	0.111
0.48	0.579	0.921	0.397	1.424
0.112	1	1	0.096	0.079
0.61	0.767	1	0.436	0.647
0.548	0.961	1	0.483	0.849
0.131	0.474	1	0.076	0.745
1.332	1	1	0.677	0.737
0.155	2.077	1	0.561	0.656
1.413	0.273	1	0.62	2.577
0.747	0.111	1	0.433	0.727
0.579	0.014	1	0.514	0.481
0.127	0.118	1	0.555	0.188
0.475	0.204	1	0.412	0.863
0.132	0.364	1	0.379	0.213
0.04	0.677	0.855	0.357	0.258
0.464	0.442	1	0.525	0.849
0.457	0.217	1	0.162	0.385
0.032	0.787	0.961	0	0.077
0.36	0.762	1	0.32	0.878
0.592	0.524	1	0.497	0.851
0.814	0.167	1	0.514	0.833
0.079	0.014	1	0.946	0.714
0.043	0.061	0.932	0.001	0.198
0.264	0.109	1	0.083	0.113
0.361	0.071	1	0.585	0.814
0.08	0.1	1	0.044	0.074
0.226	0.048	1	0.468	0.071
0.029	0.216	1	0.985	0.83
0.082	0.964	1	0.251	0.452
0.184	0.233	0.527	0.559	0.196
