PulseOn	Apple	Mio	Basis	Samsung	Fitbit	Microsoft
0.127	0.012	0.096	0.01	0.331	0	0.178
0.003	0.006	0.013	0	0.276	0.023	0.144
0.005	0.02	0	0.009	0.053	0.009	0.009
0.017	0.006	0.058	0.012	0.025	0.081	0
0.006	0.007	0.025	0.007	0.019	0	0.027
0.026	0	0	0.009	0.044	0.009	0.048
0.006	0.133	0.008	0.077	0.039	0.115	0.127
0.001	0.167	0.306	0.167	0.063	0.088	0.012
0.054	0.012	0.016	0	0.069	0.049	0.017
0.018	0.017	0.038	0.009	0.058	0.017	0.029
0.03	0.019	0.059	0.019	0.114	0	0.144
0.012	0.106	0.071	0.167	0.029	0.178	0.009
0.194	0.014	0.049	0	0.032	0.157	0.007
0.188	0.001	0.009	0.034	0.046	0.02	0.008
0.02	0.006	0.031	0.017	0.03	0.008	0.083
0.002	0.017	0.091	0.019	0.056	0.037	0.047
0.047	0.019	0.009	0.042	0.038	0.019	0.017
0.035	0.027	0.034	0.027	0.063	0.017	0.018
0.017	0.004	0.261	0.029	0.186	0.044	0.022
0.025	0.008	0.009	0.019	0.118	0.022	0.009
0.005	0.011	0.055	0	0.287	0.009	0
0.003	0.001	0.215	0	0.019	0.009	0.043
0.1	0.048	0.393	0.044	0.017	0.007	0.009
0.006	0.007	0.018	0.022	0.038	0.009	0.052
0.006	0.067	0.112	0.057	0.001	0	0.057
0.005	0.01	0.011	0.01	0.161	0.019	0
0.008	0.004	0.031	0.178	0.101	0.01	0.008
0.209	0.007	0.026	0.083	0.151	0.163	0.092
0.013	0.019	0.016	0	0.233	0.101	0.048
0.043	0.039	0.025	0	0.082	0.01	0.039
0.002	0.138	0.204	0.021	0.163	0.008	0.053
0.005	0.051	0.008	0.061	0.006	0.043	0.041
0.005	0.012	0.033	0.008	0.104	0.041	0
0.04	0.004	0.037	0	0.001	0.008	0.102
0.006	0.001	0.039	0.007	0.349	0	0.015
0.009	0.003	0.022	0.007	0.388	0	0.007
0.003	0.01	0.019	0.052	0.029	0.007	0.031
0.034	0.005	0.396	0	0.012	0.01	0.049
0.003	0.011	0.019	0.007	0.411	0.013	0.051
0.414	0.005	0	0.182	0.007	0.028	0.01
0.001	0.01	0.01	0.01	0.468	0.036	0
0.063	0.02	0.152	0.02	0.165	0.048	0.01
0.002	0.029	0.026	0	0.025	0.119	0.022
0.005	0	0.339	0.007	0.039	0.031	0
0.581	0.031	0.465	0.008	0.25	0.007	0.028
0.127	0.012	0.096	0.01	0.331	0	0.178
0.003	0.006	0.013	0	0.276	0.023	0.144
0.005	0.02	0	0.009	0.053	0.009	0.009
0.017	0.006	0.058	0.012	0.025	0.081	0
0.006	0.007	0.025	0.007	0.019	0	0.027
0.026	0	0	0.009	0.044	0.009	0.048
0.006	0.133	0.008	0.077	0.039	0.115	0.127
0.001	0.167	0.306	0.167	0.063	0.088	0.012
0.054	0.012	0.016	0	0.069	0.049	0.017
0.018	0.017	0.038	0.009	0.058	0.017	0.029
0.03	0.019	0.059	0.019	0.114	0	0.144
0.012	0.106	0.071	0.167	0.029	0.178	0.009
0.194	0.014	0.049	0	0.032	0.157	0.007
0.188	0.001	0.009	0.034	0.046	0.02	0.008
0.02	0.006	0.031	0.017	0.03	0.008	0.083
0.002	0.017	0.091	0.019	0.056	0.037	0.047
0.047	0.019	0.009	0.042	0.038	0.019	0.017
0.035	0.027	0.034	0.027	0.063	0.017	0.018
0.017	0.004	0.261	0.029	0.186	0.044	0.022
0.025	0.008	0.009	0.019	0.118	0.022	0.009
0.005	0.011	0.055	0	0.287	0.009	0
0.003	0.001	0.215	0	0.019	0.009	0.043
0.1	0.048	0.393	0.044	0.017	0.007	0.009
0.006	0.007	0.018	0.022	0.038	0.009	0.052
0.006	0.067	0.112	0.057	0.001	0	0.057
0.005	0.01	0.011	0.01	0.161	0.019	0
0.008	0.004	0.031	0.178	0.101	0.01	0.008
0.209	0.007	0.026	0.083	0.151	0.163	0.092
0.013	0.019	0.016	0	0.233	0.101	0.048
0.043	0.039	0.025	0	0.082	0.01	0.039
0.002	0.138	0.204	0.021	0.163	0.008	0.053
0.005	0.051	0.008	0.061	0.006	0.043	0.041
0.005	0.012	0.033	0.008	0.104	0.041	0
0.04	0.004	0.037	0	0.001	0.008	0.102
0.006	0.001	0.039	0.007	0.349	0	0.015
0.009	0.003	0.022	0.007	0.388	0	0.007
0.003	0.01	0.019	0.052	0.029	0.007	0.031
0.034	0.005	0.396	0	0.012	0.01	0.049
0.003	0.011	0.019	0.007	0.411	0.013	0.051
0.414	0.005	0	0.182	0.007	0.028	0.01
0.001	0.01	0.01	0.01	0.468	0.036	0
0.063	0.02	0.152	0.02	0.165	0.048	0.01
0.002	0.029	0.026	0	0.025	0.119	0.022
0.005	0	0.339	0.007	0.039	0.031	0
0.581	0.031	0.465	0.008	0.25	0.007	0.028
