PulseOn	Apple	Mio	Basis	Samsung	Fitbit	Microsoft
0.429	0.196	0.034	0.146	0.037	0.232	0.256
0.225	0.063	0.366	0.057	0.057	0.086	0.043
0.07	0.023	0.347	0	0.027	0	0.041
0.029	0.159	0.107	0.134	0.246	0.134	0.073
0.014	0.262	0.231	0.25	0.098	0.036	0.095
0.17	0.166	0.13	0.167	0.263	0.216	0.186
0.005	0.044	0	0.255	0.047	0.327	0.255
0.012	0.034	0.061	0.026	0.024	0.118	0.092
0.072	0.018	0.213	0.054	0.076	0.036	0.054
0.175	0.017	0.131	0.017	1.016	0	0.034
0.01	0.021	0.12	0.013	0.415	0	0
0.307	0.055	0.035	0.027	0.06	0.096	0.164
0.026	0.072	0.01	0.014	0.003	0.014	0.072
0.027	0.071	0.063	0.015	0.023	0.015	0.029
0.053	0.183	0.239	0.033	0.034	0.122	0.014
0.035	0.013	0.079	0.015	0.259	0.077	0.015
0.004	0.08	0.01	0.09	0	0.03	0.313
0.005	0.145	0.02	0.5	0.08	0.019	0.192
0.003	0.007	0.039	0	0.059	0.089	0.013
0.003	0.049	0.013	0.015	0.008	0.142	0.037
0.01	0.001	0.181	0.107	0.112	0.267	0.067
0.215	0.055	0.015	0	0.057	0.041	0.014
0.006	0.024	0.056	0.333	0.035	0.25	0
0.006	0.025	0.292	0.066	0.055	0.143	0.121
0.234	0.001	0.59	0.1	1.048	0.178	0
0.303	0.075	0.054	0.071	0.209	0.262	0.167
0.892	0.018	0.037	0.23	0	0	0.08
0.086	0.242	0.4	0.202	0.003	0.277	0.213
0.046	0.109	0.048	0.064	0.962	0.077	0.09
0.063	0.001	0	0.131	0.057	0.061	0.03
0.023	0	0.471	0.02	0.023	0.02	0.02
0.004	0.059	0.017	0.091	0.064	0.106	0.167
0.011	0.01	0.018	0.074	0.002	0.012	0.062
0.124	0.256	0.168	0.308	0.16	0.246	0.277
0.006	0.033	0.297	0	0.102	0	0
0.151	0.014	0.716	0.014	0.151	0	0
0.15	0	0.053	0.014	0.003	0	0.014
0.05	0.063	0.088	0.021	0.284	0	0.021
0.007	0.007	0.295	0.063	0.009	0.016	0.063
0.03	0.116	0.233	0.009	0.446	0.167	0.111
0.047	0.014	0.099	0	0.048	0.022	0.011
0.043	0	0.029	0.5	0.018	0.321	0.01
0.034	0.001	0.035	0.096	1.056	0.072	0.012
0.051	0.012	0	0.286	0.921	0.738	0.274
0.109	0.011	0.081	0.009	0.089	0.282	0
0.088	0.008	0.077	0.137	0.03	0.427	0.051
0.093	0.063	0.058	0.386	0.3	0	0.133
0.153	0.029	0.075	1.391	0.066	0.348	0.493
0.022	0.025	0.103	0.099	0.007	0.012	0.049
0.601	0.001	0.605	0	0.102	0.135	0
0.014	0.05	0	0.01	0.022	0.089	0.04
0.007	0.031	0.029	0.031	0.072	0	0.062
0.023	0.035	0.037	0.359	0.006	0.186	0.012
0.276	0.366	0.438	0.03	0.319	0.071	0.086
