VO2	R
ml/min	---
	
851.2207488322	0.7851175527
999.8857476741	0.8209528986
1053.7848045367	0.839926019
843.27163551	0.8320321647
879.3399856656	0.8127044175
959.2803573765	0.8228617922
959.9985703277	0.7870238487
994.748759643	0.7765954534
760.8638166791	0.7794439801
715.0748881268	0.7678710179
694.1445557885	0.776551753
804.1789644578	0.7584722106
932.9027736638	0.736385545
860.1710223091	0.7629957788
893.6078030109	0.8163921084
735.8365852271	0.7901042125
634.0938735661	0.8028400756
786.5951979735	0.8005223158
736.0588197351	0.8163270797
696.501691582	0.8316171911
602.5725963727	0.8194033567
621.3114836457	0.8227352143
484.3320969799	0.8260075675
582.0636105576	0.8382799936
634.1349690082	0.8106257519
568.8020390934	0.8213998129
507.9460015125	0.8345611608
458.8546134437	0.8454601626
516.3139366232	0.8266395495
546.6356035488	0.837409403
540.1669211696	0.8201881718
523.6446945651	0.8339513496
514.4793417358	0.8560271936
454.2792159024	0.8420292569
468.0998714298	0.8543656754
487.7637980137	0.8599098469
481.5856535973	0.859780517
544.9302434557	0.8785414601
465.7928987473	0.8923283984
411.5053797372	0.8879647997
417.3220719837	0.8937132719
397.8310108289	0.9050961504
418.4054982553	0.9392176927
311.6398886835	0.8712910349
450.1225802244	0.8295294338
186.5346022985	0.8673684549
424.5728914918	0.8356164384
543.6755039316	0.8486753147
399.6362540153	0.8418988854
437.7942185959	0.8453418162
363.5501503403	0.8618216763
364.4026258663	0.8724550424
423.6175544025	0.8352954048
453.7075674045	0.8371599418
372.8560307958	0.8668867763
508.7918864124	0.8447863248
412.5042658341	0.8625839278
481.1972205927	0.8516579953
504.4634882647	0.8785298894
429.6840579797	0.8769306272
476.7190552779	0.8906468731
409.862604015	0.902410138
382.3833349937	0.8784446246
401.9443591588	0.8928086568
391.5567210672	0.8917810669
443.1387580592	0.8899039863
487.0759947881	0.9898515986
118.0095684942	0.9139455101
175.6394265861	0.8532925674
294.7547681779	0.8386151502
409.8439304262	0.8099895179
449.4184381655	0.8325736122
456.7025504024	0.8272976274
671.7777971174	0.8386296947
692.6664857379	0.8393053846
871.2070666566	0.7885793629
589.3865333914	0.7337447653
839.6665773687	0.8168082708
842.4544798177	0.8186477479
739.3953423653	0.8355799831
763.7312596991	0.8458922346
774.6740150267	0.8653218709
764.3323491276	0.8852298748
789.2428158725	0.8974599281
757.9144444903	0.9322302445
725.3879210929	0.9084912167
610.2399262092	0.9157821639
719.5855855397	0.8855062906
777.1430724109	0.8788897703
677.1945003497	0.8718351357
692.6194964267	0.8381842836
753.6033061788	0.8239075922
945.5709163897	0.8325086391
749.003555812	0.8040299361
738.7032774248	0.8654880049
616.3487896482	0.8361955926
483.502309144	0.8614708702
619.215247436	0.8767362066
518.1824729592	0.8660254265
438.409008792	0.8789064043
433.2939834899	0.8936865712
448.0599756632	0.8933976804
427.6975732088	0.8968422259
425.7179956555	0.8953923756
418.3563620118	0.902985147
432.4175623698	0.8899110256
346.2460652016	0.8947219614
387.5785573762	0.8728325849
341.2893278829	0.871664475
382.0797060249	0.8346811778
386.8499340462	0.8330803197
443.4309447726	0.8281265727
451.8547495671	0.8557370789
393.4162331479	0.8511495776
363.2100927758	0.8492855416
358.149197279	0.8320193063
478.0628729542	0.839631322
323.0716170986	0.8390169301
404.3920555506	0.8748043818
302.648770466	0.8249111938
314.7986567841	0.8262671428
413.9284047342	0.8451611576
375.1927946643	0.8310693748
402.185837536	0.8096529356
386.1279770086	0.8399493893
289.9979692524	0.8304887894
470.7291069865	0.8873160943
311.0468228054	0.8349551625
