VO2	R
ml/min	---
	
1278.7098301764	0.724238729
1421.4775676252	0.7715820886
1924.5950296921	0.7524939474
1647.4228445718	0.7649106705
1567.5579427826	0.7627816909
1712.6099709749	0.7610007503
1671.0340131179	0.7872109523
1284.9179974662	0.7423718494
2082.8665118093	0.7442741703
1869.4090753256	0.7591338534
2055.2762571557	0.8624859226
1920.5995670834	0.8196435549
2023.576108734	0.8228921714
1947.8835801326	0.825343648
2280.6595450845	0.7984807752
2322.3361051274	0.8168312634
2255.1214275186	0.8456094542
2108.7752612382	0.8647388939
2069.5728303298	0.8672118921
2193.9581014531	0.8607835027
1871.8292884816	0.8700912583
2067.1920145546	0.850764489
2388.9931956974	0.8649131299
2507.7144847465	0.86099669
2484.4686837777	0.8980477575
2369.292163055	0.9042574368
2031.0202094874	0.9488906267
2368.3578173081	0.9428270319
2360.0037822273	0.9542448273
2294.7799325991	0.9746220718
2469.5763413091	0.9386077509
2433.0400730611	0.9634710699
2068.0139450583	0.9521947407
2409.0098131325	0.978006206
2399.2146789708	1.0031089056
2307.3162077415	1.0230550248
2490.1995648075	1.0320073181
2131.3516922513	1.0467049414
2286.5544492213	1.0088492369
2454.6565400258	1.0160754782
2142.4648085885	1.0538997715
2303.5049614497	1.0125322706
2558.4505281743	1.0005758713
2276.2895092451	1.0028441787
2427.6714346283	0.9770815185
2509.4158243625	1.0001761034
2402.6062695219	1.0193327569
2183.6256665622	1.0474931293
2248.9219702902	0.964173658
2654.0941081368	0.9897741186
2584.9862239325	1.0163929767
2717.1092769418	1.0296153879
2401.8039607278	1.0436193884
2474.8832740959	1.0577674355
2386.469859612	1.0605187462
2068.8347680254	1.049209414
2137.8983573429	1.0010596235
2404.4164223498	0.978052088
2294.3212122489	0.9674303323
2393.3246482708	0.9772556593
2472.4292605986	0.9813284152
2452.1934421813	0.9872563293
2518.5411383542	1.0239168683
2157.8425658102	1.0352082988
2439.9386955928	1.0018881919
2451.7331154933	1.0088985675
2415.2603342996	1.0221949699
2447.6965000668	1.0215583511
2569.9985996435	1.0473751843
2200.8918049447	1.0358656331
2328.7651015546	1.0048627129
2459.68488708	1.009925186
2419.5569428161	1.0269523344
2473.0032914315	1.008591634
2506.6798746232	1.0134369206
2183.0301400997	1.00886095
2321.4905390446	0.9825161401
2544.5356927139	0.9982377967
2396.7480343856	1.0164306793
2399.661167936	1.0288847768
2475.8150230744	1.0152375005
2456.4662511368	1.0083341211
2417.6400476388	1.0183043475
2453.219332562	1.0016711154
2151.7681324007	1.0265350145
2361.6745546035	0.9581284432
2468.8426257659	0.9824337701
2621.9703474602	1.010615443
2294.9405117653	1.0294487131
2211.7587786695	0.9968535576
2375.7521645212	0.9993535301
2449.1692621305	1.000186038
2657.533694539	1.0057563292
2610.6483056528	1.0029974496
2242.1782013804	1.019274136
2035.4738196117	0.9097013973
2862.7685771107	0.953168481
2488.8505863804	0.9951188382
2333.6146197159	0.9631053878
2428.1070964051	0.9497936294
2524.3413157138	0.9398971021
2522.4207820275	0.9591835057
2540.5223513885	0.9728544188
2488.6438428295	0.9779510785
2536.6160205944	0.9823023938
2462.0693960634	0.9933482289
2554.1216887569	0.9827076987
2222.7947193377	0.9778985552
2283.8838030844	0.9696886155
2364.5676915152	0.9429815721
2402.0487040889	0.9649757742
2530.6567532503	0.9345785001
2529.7239245046	0.9457508269
2605.2176788468	0.9511441843
2467.2228910562	0.9575779787
2193.111349763	0.9567870616
2289.6353321546	0.9067170771
2793.5717741319	0.9229898943
2756.7589757946	0.9457917414
