Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
NoData	83	7/28/2016 0:00:00	0.9057000279	7/28/2016 0:00:00	0
6/12/2016 9:29:38	70	7/28/2016 0:01:00	0.9057000279	7/28/2016 0:01:00	0
6/12/2016 9:29:43	67	7/28/2016 0:02:00	0.9057000279	7/28/2016 0:02:00	0
6/12/2016 9:29:48	77	7/28/2016 0:03:00	0.9057000279	7/28/2016 0:03:00	0
6/12/2016 9:29:53	82	7/28/2016 0:04:00	0.9057000279	7/28/2016 0:04:00	0
6/12/2016 9:29:58	88	7/28/2016 0:05:00	0.9057000279	7/28/2016 0:05:00	0
6/12/2016 9:30:03	93	7/28/2016 0:06:00	0.9057000279	7/28/2016 0:06:00	0
6/12/2016 9:30:08	96	7/28/2016 0:07:00	0.9057000279	7/28/2016 0:07:00	0
6/12/2016 9:30:13	99	7/28/2016 0:08:00	0.9057000279	7/28/2016 0:08:00	0
6/12/2016 9:30:18	104	7/28/2016 0:09:00	0.9057000279	7/28/2016 0:09:00	0
6/12/2016 9:30:23	110	7/28/2016 0:10:00	0.9057000279	7/28/2016 0:10:00	0
6/12/2016 9:30:38	110	7/28/2016 0:11:00	0.9057000279	7/28/2016 0:11:00	0
6/12/2016 9:30:53	110	7/28/2016 0:12:00	0.9057000279	7/28/2016 0:12:00	0
6/12/2016 9:31:08	110	7/28/2016 0:13:00	0.9057000279	7/28/2016 0:13:00	0
6/12/2016 9:31:13	110	7/28/2016 0:14:00	0.9057000279	7/28/2016 0:14:00	0
6/12/2016 9:31:23	109	7/28/2016 0:15:00	12/30/1899 21:44:12	7/28/2016 0:15:00	0
6/12/2016 9:31:28	111	7/28/2016 0:16:00	0.9057000279	7/28/2016 0:16:00	0
6/12/2016 9:31:43	111	7/28/2016 0:17:00	0.9057000279	7/28/2016 0:17:00	0
6/12/2016 9:31:58	111	7/28/2016 0:18:00	0.9057000279	7/28/2016 0:18:00	0
6/12/2016 9:32:13	111	7/28/2016 0:19:00	0.9057000279	7/28/2016 0:19:00	0
6/12/2016 9:32:18	112	7/28/2016 0:20:00	0.9057000279	7/28/2016 0:20:00	0
6/12/2016 9:32:23	113	7/28/2016 0:21:00	0.9057000279	7/28/2016 0:21:00	0
6/12/2016 9:32:28	113	7/28/2016 0:22:00	0.9057000279	7/28/2016 0:22:00	0
6/12/2016 9:32:43	111	7/28/2016 0:23:00	0.9057000279	7/28/2016 0:23:00	0
6/12/2016 9:32:48	108	7/28/2016 0:24:00	0.9057000279	7/28/2016 0:24:00	0
6/12/2016 9:32:53	105	7/28/2016 0:25:00	0.9057000279	7/28/2016 0:25:00	0
6/12/2016 9:33:08	105	7/28/2016 0:26:00	0.9057000279	7/28/2016 0:26:00	0
6/12/2016 9:33:23	105	7/28/2016 0:27:00	0.9057000279	7/28/2016 0:27:00	0
6/12/2016 9:33:38	105	7/28/2016 0:28:00	0.9057000279	7/28/2016 0:28:00	0
6/12/2016 9:33:43	106	7/28/2016 0:29:00	0.9057000279	7/28/2016 0:29:00	0
6/12/2016 9:33:48	105	7/28/2016 0:30:00	0.9057000279	7/28/2016 0:30:00	0
6/12/2016 9:33:53	106	7/28/2016 0:31:00	0.9057000279	7/28/2016 0:31:00	0
6/12/2016 9:33:58	106	7/28/2016 0:32:00	0.9057000279	7/28/2016 0:32:00	0
6/12/2016 9:34:13	106	7/28/2016 0:33:00	0.9057000279	7/28/2016 0:33:00	0
6/12/2016 9:34:18	107	7/28/2016 0:34:00	0.9057000279	7/28/2016 0:34:00	0
6/12/2016 9:34:23	108	7/28/2016 0:35:00	0.9057000279	7/28/2016 0:35:00	0
6/12/2016 9:34:33	110	7/28/2016 0:36:00	0.9057000279	7/28/2016 0:36:00	0
6/12/2016 9:34:43	111	7/28/2016 0:37:00	0.9057000279	7/28/2016 0:37:00	0
6/12/2016 9:34:58	111	7/28/2016 0:38:00	0.9057000279	7/28/2016 0:38:00	0
6/12/2016 9:35:13	110	7/28/2016 0:39:00	0.9057000279	7/28/2016 0:39:00	0
6/12/2016 9:38:40	78	7/28/2016 0:40:00	0.9057000279	7/28/2016 0:40:00	0
6/12/2016 9:38:45	70	7/28/2016 0:41:00	0.9057000279	7/28/2016 0:41:00	0
6/12/2016 9:39:23	70	7/28/2016 0:42:00	0.9057000279	7/28/2016 0:42:00	0
6/12/2016 9:39:38	72	7/28/2016 0:43:00	0.9057000279	7/28/2016 0:43:00	0
6/12/2016 9:39:43	74	7/28/2016 0:44:00	0.9057000279	7/28/2016 0:44:00	0
		7/28/2016 0:45:00	0.9057000279	7/28/2016 0:45:00	0
		7/28/2016 0:46:00	0.9057000279	7/28/2016 0:46:00	0
		7/28/2016 0:47:00	0.9057000279	7/28/2016 0:47:00	0
		7/28/2016 0:48:00	0.9057000279	7/28/2016 0:48:00	0
		7/28/2016 0:49:00	0.9057000279	7/28/2016 0:49:00	0
		7/28/2016 0:50:00	0.9057000279	7/28/2016 0:50:00	0
		7/28/2016 0:51:00	0.9057000279	7/28/2016 0:51:00	0
