Date	HeartRate	Calories	Steps
20160610110800-0700	70.6	0.0	36.4
20160610110900-0700	71.65	0.0	38.0
20160610111000-0700	73.5	0.0	38.0
20160610111100-0700	66.5	0.0	38.0
20160610112000-0700	75.5882352941	0.0	38.0
20160610112100-0700	75.0	0.0	38.0
20160610115400-0700	74.3157894737	0.0	38.0
20160610115500-0700	121.5	0.0	38.0
20160610145800-0700	64.5714285714	0.0	38.0
20160610145900-0700	81.1538461538	0.0	38.0
20160610151400-0700	88.3333333333	0.0	38.0
20160610151500-0700	95.1428571429	0.0	38.0
20160612112100-0700	90.2777777778	0.0555555555556	38.2777777778
20160612112200-0700	88.2142857143	0.0	38.0
20160612112900-0700	84.5	0.0	38.0
20160612113000-0700	76.7272727273	0.0	38.0
20160612114300-0700	73.7857142857	0.0	38.0
20160612114400-0700	73.8571428571	0.0	38.0
20160612123500-0700	72.0	0.0	38.0
20160612123600-0700	76.2105263158	0.473684210526	38.0
20160612125300-0700	89.0	0.0	38.0
20160612125400-0700	90.375	0.0	38.0
20160612134400-0700	69.0	0.0	38.0
20160612134500-0700	67.0833333333	0.0	38.0
20160612152700-0700	73.6666666667	0.166666666667	38.0
20160612152800-0700	71.8	0.6	38.0
20160612152900-0700	82.875	0.0	38.0
20160612155700-0700	84.6	0.0	38.0
20160612155800-0700	66.0	0.733333333333	38.0
20160612161800-0700	72.55	0.4	38.0
20160612162700-0700	69.6666666667	0.0	38.0
20160612162800-0700	78.25	0.2	38.0
20160612162900-0700	80.0	0.0	38.0
20160612163100-0700	137.0	0.0	38.0
20160612163200-0700	74.2631578947	0.105263157895	38.0
20160612165700-0700	68.9230769231	0.0	38.0
20160612165800-0700	84.0	0.0	38.0
20160612165900-0700	73.8235294118	0.0	38.0
20160612170000-0700	92.6666666667	0.0	38.0
20160612183300-0700	104.5	0.0	38.0
20160612183400-0700	77.5	0.25	38.0
20160612183800-0700	70.6666666667	0.0	38.0
20160612183900-0700	95.8571428571	0.857142857143	38.0
20160612184000-0700	80.35	0.8	39.0
20160612184100-0700	104.15	4.2	39.0
20160612184200-0700	144.6	4.85	39.55
20160612184300-0700	161.1	5.0	42.6
20160612184400-0700	148.4	3.4	45.6
20160612184500-0700	136.45	0.4	47.9
20160612184600-0700	110.95	1.55	49.0
20160612184700-0700	140.4	5.0	49.0
20160612184800-0700	163.1	4.85	49.5
20160612184900-0700	165.9	4.85	51.4
20160612185000-0700	165.7	4.9	53.05
20160612185100-0700	162.75	4.65	54.7
20160612185200-0700	155.75	4.7	56.25
20160612185300-0700	161.95	4.95	57.55
20160612185400-0700	164.45	4.7	59.0
20160612185500-0700	166.7	3.95	59.8
20160612185600-0700	157.95	4.95	60.55
20160612185700-0700	169.4	4.65	61.4
20160612185800-0700	173.5	4.55	62.5
20160612185900-0700	171.0	4.55	63.65
20160612190000-0700	171.6	4.65	64.65
20160612190100-0700	171.7	4.9	65.55
20160612190200-0700	172.15	4.45	66.75
20160612190300-0700	171.4	4.45	67.75
20160612190400-0700	173.85	4.85	68.9
20160612190500-0700	171.85	4.6	69.8
20160612190600-0700	174.2	4.0	70.8
20160612190700-0700	173.65	4.5	71.85
20160612190800-0700	176.9	4.4	73.15
20160612190900-0700	177.2	4.65	74.3
20160612191000-0700	173.8	4.35	75.55
20160612191100-0700	174.55	4.65	76.55
20160612191200-0700	173.65	4.3	77.55
20160612191300-0700	173.75	4.05	78.75
20160612191400-0700	171.95	4.35	79.0
20160612191500-0700	169.45	4.15	79.0
20160612191600-0700	169.05	4.05	79.0
20160612191700-0700	166.3	4.0	79.0
20160612191800-0700	171.25	4.2	79.0
20160612191900-0700	169.05	4.2	79.0
20160612192000-0700	173.55	4.7	79.0
20160612192100-0700	165.7	4.8	79.0
20160612192200-0700	162.8	4.3	79.0
20160612192300-0700	169.35	3.25	79.0
20160612192400-0700	160.7	1.3	79.0
20160612192500-0700	158.85	3.8	79.0
20160612192600-0700	170.95	4.3	79.0
20160612192700-0700	173.75	1.5	79.0
20160612192800-0700	145.5	1.0	79.0
20160612192900-0700	138.5	1.0	79.0
20160612193000-0700	132.9	1.0	79.0
20160612193100-0700	140.8	1.0	79.0
20160612193200-0700	122.9375	0.75	79.0
20160613110800-0700	74.0	0.0	78.0
20160613110900-0700	78.0	0.0	78.0
20160614101200-0700	100.428571429	1.0	78.0
20160614101300-0700	102.0	1.0	78.0
20160614101400-0700	83.3333333333	0.0	78.0
20160614101500-0700	89.0	0.0	78.0
20160614102000-0700	76.5	0.4	39.0
20160614102100-0700	101.35	3.85	39.0
20160614102200-0700	140.45	5.0	39.45
20160614102300-0700	148.1	4.85	41.85
20160614102400-0700	148.4	5.0	44.55
20160614102500-0700	150.95	4.95	47.2
20160614102600-0700	149.45	4.95	49.15
20160614102700-0700	147.0	4.8	50.15
20160614102800-0700	146.5	0.6	51.4
20160614102900-0700	129.1	0.0	51.7
20160614103000-0700	123.666666667	0.0	51.0
20160728140900-0700	88.1428571429	0.0	38.0
