Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
2016+AC0-08+AC0-08 10:35:17	79	8/8/2016 10:41:00	0.9600800276	8/8/2016 10:41:00	0
8/8/2016 10:41:20	70	8/8/2016 10:42:00	2.9675199986	8/8/2016 10:42:00	30
8/8/2016 10:41:25	71	8/8/2016 10:43:00	2.9675199986	8/8/2016 10:43:00	28
8/8/2016 10:41:30	89	8/8/2016 10:44:00	2.0947198868	8/8/2016 10:44:00	18
8/8/2016 10:41:35	100	8/8/2016 10:45:00	0.8727999926	8/8/2016 10:45:00	0
8/8/2016 10:41:40	96	8/8/2016 10:46:00	0.8727999926	8/8/2016 10:46:00	0
8/8/2016 10:41:45	101	8/8/2016 10:47:00	0.8727999926	8/8/2016 10:47:00	0
8/8/2016 10:41:50	104	8/8/2016 10:48:00	0.8727999926	8/8/2016 10:48:00	0
8/8/2016 10:41:55	103	8/8/2016 10:49:00	0.8727999926	8/8/2016 10:49:00	0
8/8/2016 10:42:00	101	8/8/2016 10:50:00	0.8727999926	8/8/2016 10:50:00	0
8/8/2016 10:42:05	104	8/8/2016 10:51:00	0.8727999926	8/8/2016 10:51:00	0
8/8/2016 10:42:20	104	8/8/2016 10:52:00	0.8727999926	8/8/2016 10:52:00	0
8/8/2016 10:42:35	106	8/8/2016 10:53:00	0.8727999926	8/8/2016 10:53:00	0
8/8/2016 10:42:40	111	8/8/2016 10:54:00	0.8727999926	8/8/2016 10:54:00	0
8/8/2016 10:42:45	112	8/8/2016 10:55:00	0.8727999926	8/8/2016 10:55:00	0
8/8/2016 10:42:50	110	8/8/2016 10:56:00	0.8727999926	8/8/2016 10:56:00	0
8/8/2016 10:43:12	70	8/8/2016 10:57:00	0.8727999926	8/8/2016 10:57:00	0
8/8/2016 10:43:22	76	8/8/2016 10:58:00	0.8727999926	8/8/2016 10:58:00	0
8/8/2016 10:43:27	87	8/8/2016 10:59:00	0.8727999926	8/8/2016 10:59:00	0
8/8/2016 10:43:32	88	8/8/2016 11:00:00	0.8727999926	8/8/2016 11:00:00	0
8/8/2016 10:43:42	91	8/8/2016 11:01:00	0.8727999926	8/8/2016 11:01:00	0
8/8/2016 10:43:47	89	8/8/2016 11:02:00	0.8727999926	8/8/2016 11:02:00	0
8/8/2016 10:44:02	90	8/8/2016 11:03:00	0.8727999926	8/8/2016 11:03:00	0
8/8/2016 11:39:39	70	8/8/2016 11:04:00	0.8727999926	8/8/2016 11:04:00	0
8/8/2016 11:39:44	101	8/8/2016 11:05:00	0.8727999926	8/8/2016 11:05:00	0
8/8/2016 11:39:49	103	8/8/2016 11:06:00	0.8727999926	8/8/2016 11:06:00	0
8/8/2016 11:39:54	106	8/8/2016 11:07:00	0.8727999926	8/8/2016 11:07:00	0
8/8/2016 11:39:59	104	8/8/2016 11:08:00	0.8727999926	8/8/2016 11:08:00	0
8/8/2016 11:40:04	112	8/8/2016 11:09:00	0.8727999926	8/8/2016 11:09:00	0
8/8/2016 11:40:09	111	8/8/2016 11:10:00	0.8727999926	8/8/2016 11:10:00	0
8/8/2016 11:40:14	110	8/8/2016 11:11:00	0.8727999926	8/8/2016 11:11:00	0
8/8/2016 11:40:19	111	8/8/2016 11:12:00	0.8727999926	8/8/2016 11:12:00	0
8/8/2016 11:40:24	118	8/8/2016 11:13:00	0.8727999926	8/8/2016 11:13:00	0
8/8/2016 11:40:29	125	8/8/2016 11:14:00	0.8727999926	8/8/2016 11:14:00	0
8/8/2016 11:40:39	125	8/8/2016 11:15:00	0.8727999926	8/8/2016 11:15:00	0
8/8/2016 11:40:44	124	8/8/2016 11:16:00	0.8727999926	8/8/2016 11:16:00	0
8/8/2016 11:40:59	124	8/8/2016 11:17:00	0.8727999926	8/8/2016 11:17:00	0
8/8/2016 11:41:23	124	8/8/2016 11:18:00	0.8727999926	8/8/2016 11:18:00	0
8/8/2016 11:41:33	125	8/8/2016 11:19:00	0.8727999926	8/8/2016 11:19:00	0
8/8/2016 11:41:48	125	8/8/2016 11:20:00	0.8727999926	8/8/2016 11:20:00	0
8/8/2016 11:41:58	123	8/8/2016 11:21:00	0.8727999926	8/8/2016 11:21:00	0
8/8/2016 11:42:06	120	8/8/2016 11:22:00	0.8727999926	8/8/2016 11:22:00	0
8/8/2016 11:42:40	70	8/8/2016 11:23:00	0.8727999926	8/8/2016 11:23:00	0
8/8/2016 11:42:45	78	8/8/2016 11:24:00	0.8727999926	8/8/2016 11:24:00	0
8/8/2016 11:42:50	81	8/8/2016 11:25:00	0.8727999926	8/8/2016 11:25:00	0
8/8/2016 11:42:55	81	8/8/2016 11:26:00	0.8727999926	8/8/2016 11:26:00	0
8/8/2016 11:43:05	83	8/8/2016 11:27:00	0.8727999926	8/8/2016 11:27:00	0
8/8/2016 11:43:10	84	8/8/2016 11:28:00	0.8727999926	8/8/2016 11:28:00	0
8/8/2016 11:43:22	85	8/8/2016 11:29:00	0.8727999926	8/8/2016 11:29:00	0
8/8/2016 11:43:27	86	8/8/2016 11:30:00	0.8727999926	8/8/2016 11:30:00	0
8/8/2016 11:43:32	90	8/8/2016 11:31:00	0.8727999926	8/8/2016 11:31:00	0
8/8/2016 11:44:06	90	8/8/2016 11:32:00	0.8727999926	8/8/2016 11:32:00	0
8/8/2016 11:44:11	91	8/8/2016 11:33:00	0.8727999926	8/8/2016 11:33:00	0
8/8/2016 11:44:21	96	8/8/2016 11:34:00	0.8727999926	8/8/2016 11:34:00	0
8/8/2016 11:44:26	102	8/8/2016 11:35:00	0.8727999926	8/8/2016 11:35:00	0
8/8/2016 11:44:31	103	8/8/2016 11:36:00	0.8727999926	8/8/2016 11:36:00	0
8/8/2016 11:44:36	106	8/8/2016 11:37:00	0.8727999926	8/8/2016 11:37:00	0
8/8/2016 11:44:41	109	8/8/2016 11:38:00	0.8727999926	8/8/2016 11:38:00	0
8/8/2016 11:44:46	108	8/8/2016 11:39:00	0.8727999926	8/8/2016 11:39:00	0
8/8/2016 11:44:51	106	8/8/2016 11:40:00	0.9600800276	8/8/2016 11:40:00	0
8/8/2016 11:44:56	104	8/8/2016 11:41:00	3.6657600403	8/8/2016 11:41:00	29
8/8/2016 11:45:06	103	8/8/2016 11:42:00	3.2293601036	8/8/2016 11:42:00	0
8/8/2016 11:45:21	103	8/8/2016 11:43:00	0.9600800276	8/8/2016 11:43:00	0
8/8/2016 11:45:26	104	8/8/2016 11:44:00	0.8727999926	8/8/2016 11:44:00	0
8/8/2016 11:45:41	103	8/8/2016 11:45:00	2.9675199986	8/8/2016 11:45:00	82
8/8/2016 11:45:49	104	8/8/2016 11:46:00	3.3166399002	8/8/2016 11:46:00	60
8/8/2016 11:45:54	105	8/8/2016 11:47:00	3.3166399002	8/8/2016 11:47:00	29
8/8/2016 11:46:02	108	8/8/2016 11:48:00	2.9675199986	8/8/2016 11:48:00	7
8/8/2016 11:46:10	109	8/8/2016 11:49:00	1.1346399784	8/8/2016 11:49:00	0
8/8/2016 11:46:20	110	8/8/2016 11:50:00	1.1346399784	8/8/2016 11:50:00	0
8/8/2016 11:46:40	110	8/8/2016 11:51:00	1.0473599434	8/8/2016 11:51:00	0
8/8/2016 11:46:45	114	8/8/2016 11:52:00	1.1346399784	8/8/2016 11:52:00	0
8/8/2016 11:46:50	115	8/8/2016 11:53:00	1.1346399784	8/8/2016 11:53:00	0
8/8/2016 11:46:55	116	8/8/2016 11:54:00	2.6184000969	8/8/2016 11:54:00	19
8/8/2016 11:47:00	118	8/8/2016 11:55:00	3.4911999702	8/8/2016 11:55:00	51
8/8/2016 11:47:05	122	8/8/2016 11:56:00	2.4438400269	8/8/2016 11:56:00	62
8/8/2016 11:47:10	121	8/8/2016 11:57:00	1.0473599434	8/8/2016 11:57:00	0
8/8/2016 11:47:15	120	8/8/2016 11:58:00	0.8727999926	8/8/2016 11:58:00	0
8/8/2016 11:47:20	119	8/8/2016 11:59:00	0.8727999926	8/8/2016 11:59:00	0
8/8/2016 11:47:30	118	8/8/2016 12:00:00	0.8727999926	8/8/2016 12:00:00	0
8/8/2016 11:47:35	114	8/8/2016 12:01:00	0.8727999926	8/8/2016 12:01:00	0
8/8/2016 11:47:40	112	8/8/2016 12:02:00	0.8727999926	8/8/2016 12:02:00	0
8/8/2016 11:47:45	109	8/8/2016 12:03:00	0.8727999926	8/8/2016 12:03:00	0
8/8/2016 11:47:50	109	8/8/2016 12:04:00	0.8727999926	8/8/2016 12:04:00	0
8/8/2016 11:47:55	109	8/8/2016 12:05:00	0.8727999926	8/8/2016 12:05:00	0
8/8/2016 11:48:05	107	8/8/2016 12:06:00	0.8727999926	8/8/2016 12:06:00	0
8/8/2016 11:48:20	106	8/8/2016 12:07:00	0.8727999926	8/8/2016 12:07:00	0
8/8/2016 11:48:35	105	8/8/2016 12:08:00	0.8727999926	8/8/2016 12:08:00	0
8/8/2016 11:48:40	106	8/8/2016 12:09:00	0.8727999926	8/8/2016 12:09:00	0
8/8/2016 11:48:50	105	8/8/2016 12:10:00	0.8727999926	8/8/2016 12:10:00	0
8/8/2016 11:48:55	106	8/8/2016 12:11:00	0.8727999926	8/8/2016 12:11:00	0
8/8/2016 11:49:00	105	8/8/2016 12:12:00	0.8727999926	8/8/2016 12:12:00	0
8/8/2016 11:49:05	103	8/8/2016 12:13:00	0.8727999926	8/8/2016 12:13:00	0
8/8/2016 11:49:10	102	8/8/2016 12:14:00	0.8727999926	8/8/2016 12:14:00	0
8/8/2016 11:49:15	101	8/8/2016 12:15:00	0.8727999926	8/8/2016 12:15:00	0
8/8/2016 11:49:25	102	8/8/2016 12:16:00	0.8727999926	8/8/2016 12:16:00	0
8/8/2016 11:49:30	103	8/8/2016 12:17:00	0.8727999926	8/8/2016 12:17:00	0
8/8/2016 11:49:35	101	8/8/2016 12:18:00	0.8727999926	8/8/2016 12:18:00	0
8/8/2016 11:49:50	101	8/8/2016 12:19:00	0.8727999926	8/8/2016 12:19:00	0
8/8/2016 11:50:05	101	8/8/2016 12:20:00	0.8727999926	8/8/2016 12:20:00	0
8/8/2016 11:50:10	100	8/8/2016 12:21:00	0.8727999926	8/8/2016 12:21:00	0
8/8/2016 11:50:15	100	8/8/2016 12:22:00	0.8727999926	8/8/2016 12:22:00	0
8/8/2016 11:50:20	102	8/8/2016 12:23:00	0.8727999926	8/8/2016 12:23:00	0
8/8/2016 11:50:35	102	8/8/2016 12:24:00	0.8727999926	8/8/2016 12:24:00	0
8/8/2016 11:50:50	102	8/8/2016 12:25:00	0.8727999926	8/8/2016 12:25:00	0
8/8/2016 11:51:05	102	8/8/2016 12:26:00	0.8727999926	8/8/2016 12:26:00	0
8/8/2016 11:51:10	102	8/8/2016 12:27:00	0.8727999926	8/8/2016 12:27:00	0
8/8/2016 11:51:20	100	8/8/2016 12:28:00	0.8727999926	8/8/2016 12:28:00	0
8/8/2016 11:51:25	99	8/8/2016 12:29:00	0.8727999926	8/8/2016 12:29:00	0
8/8/2016 11:51:40	99	8/8/2016 12:30:00	0.8727999926	8/8/2016 12:30:00	0
8/8/2016 11:51:55	99	8/8/2016 12:31:00	0.8727999926	8/8/2016 12:31:00	0
8/8/2016 11:52:00	104	8/8/2016 12:32:00	0.8727999926	8/8/2016 12:32:00	0
8/8/2016 11:52:15	101	8/8/2016 12:33:00	0.8727999926	8/8/2016 12:33:00	0
8/8/2016 11:52:30	101	8/8/2016 12:34:00	0.8727999926	8/8/2016 12:34:00	0
8/8/2016 11:52:45	100	8/8/2016 12:35:00	0.8727999926	8/8/2016 12:35:00	0
8/8/2016 11:52:55	101	8/8/2016 12:36:00	0.8727999926	8/8/2016 12:36:00	0
8/8/2016 11:53:10	104	8/8/2016 12:37:00	0.8727999926	8/8/2016 12:37:00	0
8/8/2016 11:53:15	106	8/8/2016 12:38:00	0.8727999926	8/8/2016 12:38:00	0
8/8/2016 11:53:26	106	8/8/2016 12:39:00	0.8727999926	8/8/2016 12:39:00	0
8/8/2016 11:53:41	106	8/8/2016 12:40:00	0.8727999926	8/8/2016 12:40:00	0
8/8/2016 11:53:46	106	8/8/2016 12:41:00	0.8727999926	8/8/2016 12:41:00	0
8/8/2016 11:54:01	107	8/8/2016 12:42:00	0.8727999926	8/8/2016 12:42:00	0
8/8/2016 11:54:06	106	8/8/2016 12:43:00	0.8727999926	8/8/2016 12:43:00	0
8/8/2016 11:54:11	107	8/8/2016 12:44:00	0.8727999926	8/8/2016 12:44:00	0
8/8/2016 11:54:16	108	8/8/2016 12:45:00	0.8727999926	8/8/2016 12:45:00	0
8/8/2016 11:54:21	110	8/8/2016 12:46:00	0.8727999926	8/8/2016 12:46:00	0
8/8/2016 11:54:31	111	8/8/2016 12:47:00	0.8727999926	8/8/2016 12:47:00	0
8/8/2016 11:54:41	111	8/8/2016 12:48:00	0.8727999926	8/8/2016 12:48:00	0
8/8/2016 11:54:46	111	8/8/2016 12:49:00	0.8727999926	8/8/2016 12:49:00	0
8/8/2016 11:55:01	109	8/8/2016 12:50:00	0.8727999926	8/8/2016 12:50:00	0
8/8/2016 11:55:06	112	8/8/2016 12:51:00	0.8727999926	8/8/2016 12:51:00	0
8/8/2016 11:55:11	115	8/8/2016 12:52:00	0.8727999926	8/8/2016 12:52:00	0
8/8/2016 11:55:21	112	8/8/2016 12:53:00	0.8727999926	8/8/2016 12:53:00	0
8/8/2016 11:55:26	108	8/8/2016 12:54:00	0.8727999926	8/8/2016 12:54:00	0
8/8/2016 11:55:31	108	8/8/2016 12:55:00	0.8727999926	8/8/2016 12:55:00	0
8/8/2016 11:55:36	106	8/8/2016 12:56:00	0.8727999926	8/8/2016 12:56:00	0
8/8/2016 11:55:41	105	8/8/2016 12:57:00	0.8727999926	8/8/2016 12:57:00	0
8/8/2016 11:55:56	106	8/8/2016 12:58:00	0.8727999926	8/8/2016 12:58:00	0
8/8/2016 11:56:11	106	8/8/2016 12:59:00	0.8727999926	8/8/2016 12:59:00	0
8/8/2016 11:56:26	106	8/8/2016 13:00:00	0.8727999926	8/8/2016 13:00:00	0
8/8/2016 11:56:41	106	8/8/2016 13:01:00	0.8727999926	8/8/2016 13:01:00	0
8/8/2016 11:56:56	107	8/8/2016 13:02:00	0.8727999926	8/8/2016 13:02:00	0
8/8/2016 11:57:06	108	8/8/2016 13:03:00	0.8727999926	8/8/2016 13:03:00	0
8/8/2016 16:08:34	100	8/8/2016 13:04:00	0.8727999926	8/8/2016 13:04:00	0
8/8/2016 16:08:39	71	8/8/2016 13:05:00	0.8727999926	8/8/2016 13:05:00	0
8/8/2016 16:08:44	103	8/8/2016 13:06:00	0.8727999926	8/8/2016 13:06:00	0
8/8/2016 16:08:49	109	8/8/2016 13:07:00	0.8727999926	8/8/2016 13:07:00	0
8/8/2016 16:08:54	107	8/8/2016 13:08:00	0.8727999926	8/8/2016 13:08:00	0
8/8/2016 16:09:09	109	8/8/2016 13:09:00	0.8727999926	8/8/2016 13:09:00	0
8/8/2016 16:11:33	78	8/8/2016 13:10:00	0.8727999926	8/8/2016 13:10:00	0
8/8/2016 16:11:38	70	8/8/2016 13:11:00	0.8727999926	8/8/2016 13:11:00	0
8/8/2016 16:11:48	73	8/8/2016 13:12:00	0.8727999926	8/8/2016 13:12:00	0
8/8/2016 16:12:03	73	8/8/2016 13:13:00	0.8727999926	8/8/2016 13:13:00	0
8/8/2016 16:12:13	74	8/8/2016 13:14:00	0.8727999926	8/8/2016 13:14:00	0
8/8/2016 16:12:18	78	8/8/2016 13:15:00	0.8727999926	8/8/2016 13:15:00	0
8/8/2016 16:12:33	78	8/8/2016 13:16:00	0.8727999926	8/8/2016 13:16:00	0
8/8/2016 16:12:48	80	8/8/2016 13:17:00	0.8727999926	8/8/2016 13:17:00	0
8/8/2016 16:12:53	81	8/8/2016 13:18:00	0.8727999926	8/8/2016 13:18:00	0
8/8/2016 16:13:08	81	8/8/2016 13:19:00	0.8727999926	8/8/2016 13:19:00	0
8/8/2016 16:13:18	80	8/8/2016 13:20:00	0.8727999926	8/8/2016 13:20:00	0
8/8/2016 16:13:23	81	8/8/2016 13:21:00	0.8727999926	8/8/2016 13:21:00	0
8/8/2016 16:13:28	80	8/8/2016 13:22:00	0.8727999926	8/8/2016 13:22:00	0
8/8/2016 16:13:33	78	8/8/2016 13:23:00	0.8727999926	8/8/2016 13:23:00	0
8/8/2016 16:13:38	77	8/8/2016 13:24:00	0.8727999926	8/8/2016 13:24:00	0
8/8/2016 16:13:43	77	8/8/2016 13:25:00	0.8727999926	8/8/2016 13:25:00	0
8/8/2016 16:13:48	77	8/8/2016 13:26:00	0.8727999926	8/8/2016 13:26:00	0
8/8/2016 16:13:53	77	8/8/2016 13:27:00	0.8727999926	8/8/2016 13:27:00	0
8/8/2016 16:14:03	78	8/8/2016 13:28:00	0.8727999926	8/8/2016 13:28:00	0
8/8/2016 16:14:18	78	8/8/2016 13:29:00	0.8727999926	8/8/2016 13:29:00	0
8/8/2016 16:14:23	78	8/8/2016 13:30:00	0.8727999926	8/8/2016 13:30:00	0
8/8/2016 16:14:28	78	8/8/2016 13:31:00	0.8727999926	8/8/2016 13:31:00	0
8/8/2016 16:14:43	78	8/8/2016 13:32:00	0.8727999926	8/8/2016 13:32:00	0
8/8/2016 16:14:53	78	8/8/2016 13:33:00	0.8727999926	8/8/2016 13:33:00	0
8/8/2016 16:15:08	77	8/8/2016 13:34:00	0.8727999926	8/8/2016 13:34:00	0
8/8/2016 16:15:18	77	8/8/2016 13:35:00	0.8727999926	8/8/2016 13:35:00	0
8/8/2016 16:15:23	76	8/8/2016 13:36:00	0.8727999926	8/8/2016 13:36:00	0
8/8/2016 16:15:28	76	8/8/2016 13:37:00	0.8727999926	8/8/2016 13:37:00	0
8/8/2016 16:15:38	77	8/8/2016 13:38:00	0.8727999926	8/8/2016 13:38:00	0
8/8/2016 16:15:43	78	8/8/2016 13:39:00	0.8727999926	8/8/2016 13:39:00	0
8/8/2016 16:15:48	76	8/8/2016 13:40:00	0.8727999926	8/8/2016 13:40:00	0
8/8/2016 16:15:53	74	8/8/2016 13:41:00	0.8727999926	8/8/2016 13:41:00	0
8/8/2016 16:15:58	73	8/8/2016 13:42:00	0.8727999926	8/8/2016 13:42:00	0
8/8/2016 16:16:03	74	8/8/2016 13:43:00	0.8727999926	8/8/2016 13:43:00	0
8/8/2016 16:16:08	75	8/8/2016 13:44:00	0.8727999926	8/8/2016 13:44:00	0
8/8/2016 16:16:23	76	8/8/2016 13:45:00	0.8727999926	8/8/2016 13:45:00	0
8/8/2016 16:16:28	76	8/8/2016 13:46:00	0.8727999926	8/8/2016 13:46:00	0
8/8/2016 16:16:43	75	8/8/2016 13:47:00	0.8727999926	8/8/2016 13:47:00	0
8/8/2016 16:16:53	73	8/8/2016 13:48:00	0.8727999926	8/8/2016 13:48:00	0
8/8/2016 16:16:58	74	8/8/2016 13:49:00	0.8727999926	8/8/2016 13:49:00	0
8/8/2016 16:17:03	73	8/8/2016 13:50:00	0.8727999926	8/8/2016 13:50:00	0
8/8/2016 16:17:18	73	8/8/2016 13:51:00	0.8727999926	8/8/2016 13:51:00	0
8/8/2016 16:17:23	74	8/8/2016 13:52:00	0.8727999926	8/8/2016 13:52:00	0
8/8/2016 16:17:33	75	8/8/2016 13:53:00	0.8727999926	8/8/2016 13:53:00	0
8/8/2016 16:17:48	75	8/8/2016 13:54:00	0.8727999926	8/8/2016 13:54:00	0
8/8/2016 16:18:03	75	8/8/2016 13:55:00	0.8727999926	8/8/2016 13:55:00	0
8/8/2016 16:18:18	75	8/8/2016 13:56:00	0.8727999926	8/8/2016 13:56:00	0
8/8/2016 16:18:33	75	8/8/2016 13:57:00	0.8727999926	8/8/2016 13:57:00	0
8/8/2016 16:18:43	75	8/8/2016 13:58:00	0.8727999926	8/8/2016 13:58:00	0
8/8/2016 16:18:58	75	8/8/2016 13:59:00	0.8727999926	8/8/2016 13:59:00	0
8/8/2016 16:19:13	75	8/8/2016 14:00:00	0.8727999926	8/8/2016 14:00:00	0
8/8/2016 16:19:23	75	8/8/2016 14:01:00	0.8727999926	8/8/2016 14:01:00	0
8/8/2016 16:19:28	75	8/8/2016 14:02:00	0.8727999926	8/8/2016 14:02:00	0
8/8/2016 16:19:43	75	8/8/2016 14:03:00	0.8727999926	8/8/2016 14:03:00	0
8/8/2016 16:19:48	75	8/8/2016 14:04:00	0.8727999926	8/8/2016 14:04:00	0
