"","Device","corr","name"
"1","Apple_Energy",2.23991187447779,"statistic"
"2","Apple_Energy",172,"parameter"
"3","Apple_Energy",0.0263774983877816,"p.value"
"4","Apple_Energy",0.168353904168808,"estimate"
"5","Apple_Energy",0,"null.value"
"6","Apple_Energy",two.sided,"alternative"
"7","Apple_Energy",Pearson's product-moment correlation,"method"
"8","Apple_Energy",percentdiff and Wrist,"data.name"
"9","Apple_Energy",c(0.0200871721489719, 0.309375134923412),"conf.int"
"10","Basis_Energy",7.17858432096222,"statistic"
"11","Basis_Energy",172,"parameter"
"12","Basis_Energy",2.0250023879953e-11,"p.value"
"13","Basis_Energy",0.480141100265489,"estimate"
"14","Basis_Energy",0,"null.value"
"15","Basis_Energy",two.sided,"alternative"
"16","Basis_Energy",Pearson's product-moment correlation,"method"
"17","Basis_Energy",percentdiff and Wrist,"data.name"
"18","Basis_Energy",c(0.356862108497018, 0.586982476282727),"conf.int"
"19","device_mean",4.24944531449695,"statistic"
"20","device_mean",305,"parameter"
"21","device_mean",2.85075551835767e-05,"p.value"
"22","device_mean",0.236424314709788,"estimate"
"23","device_mean",0,"null.value"
"24","device_mean",two.sided,"alternative"
"25","device_mean",Pearson's product-moment correlation,"method"
"26","device_mean",percentdiff and Wrist,"data.name"
"27","device_mean",c(0.127867863955209, 0.33938292136465),"conf.int"
"28","Fitbit_Energy",2.19926171878175,"statistic"
"29","Fitbit_Energy",170,"parameter"
"30","Fitbit_Energy",0.0292090505050573,"p.value"
"31","Fitbit_Energy",0.166326155679883,"estimate"
"32","Fitbit_Energy",0,"null.value"
"33","Fitbit_Energy",two.sided,"alternative"
"34","Fitbit_Energy",Pearson's product-moment correlation,"method"
"35","Fitbit_Energy",percentdiff and Wrist,"data.name"
"36","Fitbit_Energy",c(0.0171177662869549, 0.308287869317087),"conf.int"
"37","Microsoft_Energy",2.33831262047705,"statistic"
"38","Microsoft_Energy",169,"parameter"
"39","Microsoft_Energy",0.0205416694098133,"p.value"
"40","Microsoft_Energy",0.177029257729502,"estimate"
"41","Microsoft_Energy",0,"null.value"
"42","Microsoft_Energy",two.sided,"alternative"
"43","Microsoft_Energy",Pearson's product-moment correlation,"method"
"44","Microsoft_Energy",percentdiff and Wrist,"data.name"
"45","Microsoft_Energy",c(0.0276925709290018, 0.318636380477112),"conf.int"
"46","PulseOn_Energy",2.88711915987951,"statistic"
"47","PulseOn_Energy",129,"parameter"
"48","PulseOn_Energy",0.0045600746458776,"p.value"
"49","PulseOn_Energy",0.246361800995578,"estimate"
"50","PulseOn_Energy",0,"null.value"
"51","PulseOn_Energy",two.sided,"alternative"
"52","PulseOn_Energy",Pearson's product-moment correlation,"method"
"53","PulseOn_Energy",percentdiff and Wrist,"data.name"
"54","PulseOn_Energy",c(0.0781382186713427, 0.400944453776307),"conf.int"
